2020-08-23 13:39:31,295 | INFO | DefaultCamelContext.java 3146 | Apache Camel 2.20.1 (CamelContext: camel-1) is starting
2020-08-23 13:39:31,297 | INFO | ManagedManagementStrategy.java 205 | JMX is enabled
2020-08-23 13:39:31,467 | INFO | DefaultTypeConverter.java 66 | Type converters loaded (core: 192, classpath: 0)
2020-08-23 13:39:31,575 | INFO | DefaultCamelContext.java 3466 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2020-08-23 13:39:31,612 | INFO | DefaultCamelContext.java 4026 | Route: route1 started and consuming from: file://data/input
2020-08-23 13:39:31,612 | INFO | DefaultCamelContext.java 3195 | Total 1 routes, of which 1 are started
2020-08-23 13:39:31,615 | INFO | DefaultCamelContext.java 3207 | Apache Camel 2.20.1 (CamelContext: camel-1) started in 0.320 seconds
2020-08-23 13:39:36,620 | INFO | DefaultCamelContext.java 3497 | Apache Camel 2.20.1 (CamelContext: camel-1) is shutting down
2020-08-23 13:39:36,624 | INFO | DefaultShutdownStrategy.java 195 | Starting to graceful shutdown 1 routes (timeout 300 seconds)
2020-08-23 13:39:36,634 | INFO | DefaultShutdownStrategy.java 671 | Route: route1 shutdown complete, was consuming from: file://data/input
2020-08-23 13:39:36,636 | INFO | DefaultShutdownStrategy.java 260 | Graceful shutdown of 1 routes completed in 0 seconds
2020-08-23 13:39:36,671 | INFO | DefaultCamelContext.java 3588 | Apache Camel 2.20.1 (CamelContext: camel-1) uptime 5.379 seconds
2020-08-23 13:39:36,672 | INFO | DefaultCamelContext.java 3589 | Apache Camel 2.20.1 (CamelContext: camel-1) is shutdown in 0.052 seconds
2020-08-23 13:46:21,925 | INFO | DefaultCamelContext.java 3146 | Apache Camel 2.20.1 (CamelContext: camel-1) is starting
2020-08-23 13:46:21,929 | INFO | ManagedManagementStrategy.java 205 | JMX is enabled
2020-08-23 13:46:22,098 | INFO | DefaultTypeConverter.java 66 | Type converters loaded (core: 192, classpath: 0)
2020-08-23 13:46:22,205 | INFO | DefaultCamelContext.java 3466 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2020-08-23 13:46:22,243 | INFO | DefaultCamelContext.java 4026 | Route: route1 started and consuming from: file://data/input
2020-08-23 13:46:22,243 | INFO | DefaultCamelContext.java 3195 | Total 1 routes, of which 1 are started
2020-08-23 13:46:22,245 | INFO | DefaultCamelContext.java 3207 | Apache Camel 2.20.1 (CamelContext: camel-1) started in 0.322 seconds
2020-08-23 13:46:27,249 | INFO | DefaultCamelContext.java 3497 | Apache Camel 2.20.1 (CamelContext: camel-1) is shutting down
2020-08-23 13:46:27,251 | INFO | DefaultShutdownStrategy.java 195 | Starting to graceful shutdown 1 routes (timeout 300 seconds)
2020-08-23 13:46:27,256 | INFO | DefaultShutdownStrategy.java 671 | Route: route1 shutdown complete, was consuming from: file://data/input
2020-08-23 13:46:27,257 | INFO | DefaultShutdownStrategy.java 260 | Graceful shutdown of 1 routes completed in 0 seconds
2020-08-23 13:46:27,280 | INFO | DefaultCamelContext.java 3588 | Apache Camel 2.20.1 (CamelContext: camel-1) uptime 5.359 seconds
2020-08-23 13:46:27,281 | INFO | DefaultCamelContext.java 3589 | Apache Camel 2.20.1 (CamelContext: camel-1) is shutdown in 0.032 seconds
2020-08-23 13:46:49,260 | INFO | DefaultCamelContext.java 3146 | Apache Camel 2.20.1 (CamelContext: camel-1) is starting
2020-08-23 13:46:49,263 | INFO | ManagedManagementStrategy.java 205 | JMX is enabled
2020-08-23 13:46:49,421 | INFO | DefaultTypeConverter.java 66 | Type converters loaded (core: 192, classpath: 0)
2020-08-23 13:46:49,528 | INFO | DefaultCamelContext.java 3466 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2020-08-23 13:46:49,570 | INFO | DefaultCamelContext.java 4026 | Route: route1 started and consuming from: file://data/input
2020-08-23 13:46:49,570 | INFO | DefaultCamelContext.java 3195 | Total 1 routes, of which 1 are started
2020-08-23 13:46:49,574 | INFO | DefaultCamelContext.java 3207 | Apache Camel 2.20.1 (CamelContext: camel-1) started in 0.312 seconds
2020-08-23 13:46:54,575 | INFO | DefaultCamelContext.java 3497 | Apache Camel 2.20.1 (CamelContext: camel-1) is shutting down
2020-08-23 13:46:54,577 | INFO | DefaultShutdownStrategy.java 195 | Starting to graceful shutdown 1 routes (timeout 300 seconds)
2020-08-23 13:46:54,582 | INFO | DefaultShutdownStrategy.java 671 | Route: route1 shutdown complete, was consuming from: file://data/input
2020-08-23 13:46:54,582 | INFO | DefaultShutdownStrategy.java 260 | Graceful shutdown of 1 routes completed in 0 seconds
2020-08-23 13:46:54,605 | INFO | DefaultCamelContext.java 3588 | Apache Camel 2.20.1 (CamelContext: camel-1) uptime 5.347 seconds
2020-08-23 13:46:54,606 | INFO | DefaultCamelContext.java 3589 | Apache Camel 2.20.1 (CamelContext: camel-1) is shutdown in 0.031 seconds
2020-08-23 13:47:46,889 | INFO | DefaultCamelContext.java 3146 | Apache Camel 2.20.1 (CamelContext: camel-1) is starting
2020-08-23 13:47:46,892 | INFO | ManagedManagementStrategy.java 205 | JMX is enabled
2020-08-23 13:47:47,050 | INFO | DefaultTypeConverter.java 66 | Type converters loaded (core: 192, classpath: 0)
2020-08-23 13:47:47,155 | INFO | DefaultCamelContext.java 3466 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2020-08-23 13:47:47,191 | INFO | DefaultCamelContext.java 4026 | Route: route1 started and consuming from: file://data/input
2020-08-23 13:47:47,191 | INFO | DefaultCamelContext.java 3195 | Total 1 routes, of which 1 are started
2020-08-23 13:47:47,194 | INFO | DefaultCamelContext.java 3207 | Apache Camel 2.20.1 (CamelContext: camel-1) started in 0.305 seconds
2020-08-23 13:47:52,195 | INFO | DefaultCamelContext.java 3497 | Apache Camel 2.20.1 (CamelContext: camel-1) is shutting down
2020-08-23 13:47:52,198 | INFO | DefaultShutdownStrategy.java 195 | Starting to graceful shutdown 1 routes (timeout 300 seconds)
2020-08-23 13:47:52,203 | INFO | DefaultShutdownStrategy.java 671 | Route: route1 shutdown complete, was consuming from: file://data/input
2020-08-23 13:47:52,203 | INFO | DefaultShutdownStrategy.java 260 | Graceful shutdown of 1 routes completed in 0 seconds
2020-08-23 13:47:52,226 | INFO | DefaultCamelContext.java 3588 | Apache Camel 2.20.1 (CamelContext: camel-1) uptime 5.340 seconds
2020-08-23 13:47:52,226 | INFO | DefaultCamelContext.java 3589 | Apache Camel 2.20.1 (CamelContext: camel-1) is shutdown in 0.031 seconds
2020-08-23 13:48:47,272 | INFO | DefaultCamelContext.java 3146 | Apache Camel 2.20.1 (CamelContext: camel-1) is starting
2020-08-23 13:48:47,275 | INFO | ManagedManagementStrategy.java 205 | JMX is enabled
2020-08-23 13:48:47,436 | INFO | DefaultTypeConverter.java 66 | Type converters loaded (core: 192, classpath: 0)
2020-08-23 13:48:47,549 | INFO | DefaultCamelContext.java 3466 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2020-08-23 13:48:47,591 | INFO | DefaultCamelContext.java 4026 | Route: route1 started and consuming from: file://data/input
2020-08-23 13:48:47,592 | INFO | DefaultCamelContext.java 3195 | Total 1 routes, of which 1 are started
2020-08-23 13:48:47,594 | INFO | DefaultCamelContext.java 3207 | Apache Camel 2.20.1 (CamelContext: camel-1) started in 0.322 seconds
2020-08-23 13:48:52,597 | INFO | DefaultCamelContext.java 3497 | Apache Camel 2.20.1 (CamelContext: camel-1) is shutting down
2020-08-23 13:48:52,598 | INFO | DefaultShutdownStrategy.java 195 | Starting to graceful shutdown 1 routes (timeout 300 seconds)
2020-08-23 13:48:52,607 | INFO | DefaultShutdownStrategy.java 671 | Route: route1 shutdown complete, was consuming from: file://data/input
2020-08-23 13:48:52,607 | INFO | DefaultShutdownStrategy.java 260 | Graceful shutdown of 1 routes completed in 0 seconds
2020-08-23 13:48:52,638 | INFO | DefaultCamelContext.java 3588 | Apache Camel 2.20.1 (CamelContext: camel-1) uptime 5.368 seconds
2020-08-23 13:48:52,639 | INFO | DefaultCamelContext.java 3589 | Apache Camel 2.20.1 (CamelContext: camel-1) is shutdown in 0.043 seconds
2020-08-23 13:52:14,693 | INFO | DefaultCamelContext.java 3146 | Apache Camel 2.20.1 (CamelContext: camel-1) is starting
2020-08-23 13:52:14,696 | INFO | ManagedManagementStrategy.java 205 | JMX is enabled
2020-08-23 13:52:14,874 | INFO | DefaultTypeConverter.java 66 | Type converters loaded (core: 192, classpath: 0)
2020-08-23 13:52:14,991 | INFO | DefaultCamelContext.java 3466 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2020-08-23 13:52:15,030 | INFO | DefaultCamelContext.java 4026 | Route: route1 started and consuming from: file://data/input
2020-08-23 13:52:15,031 | INFO | DefaultCamelContext.java 3195 | Total 1 routes, of which 1 are started
2020-08-23 13:52:15,033 | INFO | DefaultCamelContext.java 3207 | Apache Camel 2.20.1 (CamelContext: camel-1) started in 0.342 seconds
2020-08-23 13:52:20,039 | INFO | DefaultCamelContext.java 3497 | Apache Camel 2.20.1 (CamelContext: camel-1) is shutting down
2020-08-23 13:52:20,040 | INFO | DefaultShutdownStrategy.java 195 | Starting to graceful shutdown 1 routes (timeout 300 seconds)
2020-08-23 13:52:20,043 | INFO | DefaultShutdownStrategy.java 671 | Route: route1 shutdown complete, was consuming from: file://data/input
2020-08-23 13:52:20,043 | INFO | DefaultShutdownStrategy.java 260 | Graceful shutdown of 1 routes completed in 0 seconds
2020-08-23 13:52:20,063 | INFO | DefaultCamelContext.java 3588 | Apache Camel 2.20.1 (CamelContext: camel-1) uptime 5.374 seconds
2020-08-23 13:52:20,063 | INFO | DefaultCamelContext.java 3589 | Apache Camel 2.20.1 (CamelContext: camel-1) is shutdown in 0.024 seconds
2020-08-23 13:52:40,420 | INFO | DefaultCamelContext.java 3146 | Apache Camel 2.20.1 (CamelContext: camel-1) is starting
2020-08-23 13:52:40,422 | INFO | ManagedManagementStrategy.java 205 | JMX is enabled
2020-08-23 13:52:40,589 | INFO | DefaultTypeConverter.java 66 | Type converters loaded (core: 192, classpath: 0)
2020-08-23 13:52:40,696 | INFO | DefaultCamelContext.java 3466 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2020-08-23 13:52:40,731 | INFO | DefaultCamelContext.java 4026 | Route: route1 started and consuming from: file://data/input
